0 1 0 0 0
0.01 0.999983 0.0033333 6.66662e-06 9.52376e-09
0.02 0.999933 0.0066664 2.66659e-05 7.61888e-08
0.03 0.99985 0.0099991 5.99961e-05 2.5713e-07
0.04 0.999733 0.0133312 0.000106654 6.0947e-07
0.05 0.999583 0.0166625 0.000166637 1.19031e-06
0.06 0.9994 0.0199928 0.000239938 2.05673e-06
0.07 0.999184 0.0233219 0.000326552 3.26578e-06
0.08 0.998934 0.0266496 0.000426472 4.87446e-06
0.09 0.998651 0.0299757 0.000539688 6.93973e-06
0.1 0.998334 0.0333 0.000666191 9.51852e-06
0.11 0.997985 0.0366223 0.00080597 1.26677e-05
0.12 0.997602 0.0399424 0.000959013 1.6444e-05
0.13 0.997186 0.0432601 0.00112531 2.09042e-05
0.14 0.996737 0.0465753 0.00130484 2.61049e-05
0.15 0.996254 0.0498876 0.00149759 3.21027e-05
0.16 0.995739 0.0531969 0.00170355 3.89541e-05
0.17 0.99519 0.0565031 0.00192269 4.67154e-05
0.18 0.994609 0.0598058 0.00215501 5.5443e-05
0.19 0.993994 0.063105 0.00240047 6.51929e-05
0.2 0.993347 0.0664004 0.00265906 7.60213e-05
0.21 0.992666 0.0696918 0.00293075 8.79841e-05
0.22 0.991953 0.072979 0.00321553 0.000101137
0.23 0.991207 0.0762619 0.00351336 0.000115536
0.24 0.990428 0.0795401 0.00382423 0.000131236
0.25 0.989616 0.0828137 0.0041481 0.000148294
0.26 0.988771 0.0860822 0.00448495 0.000166763
0.27 0.987894 0.0893456 0.00483474 0.000186699
0.28 0.986984 0.0926036 0.00519746 0.000208158
0.29 0.986042 0.0958561 0.00557307 0.000231193
0.3 0.985067 0.0991029 0.00596152 0.00025586
0.31 0.98406 0.102344 0.00636281 0.000282212
0.32 0.983021 0.105578 0.00677688 0.000310305
0.33 0.981949 0.108807 0.0072037 0.000340192
0.34 0.980844 0.112029 0.00764324 0.000371926
0.35 0.979708 0.115244 0.00809545 0.000405562
0.36 0.97854 0.118452 0.00856031 0.000441153
0.37 0.977339 0.121653 0.00903776 0.000478752
0.38 0.976107 0.124847 0.00952777 0.000518412
