0 1.00501 1
0.1 1.0201 1.00501
0.2 1.04551 1.0201
0.3 1.0816 1.04551
0.4 1.12891 1.0816
0.5 1.1881 1.12891
0.6 1.26001 1.1881
0.7 1.3456 1.26001
0.8 1.44601 1.3456
0.9 1.5625 1.44601
1 1.69651 1.5625
1.1 1.8496 1.69651
1.2 2.02351 1.8496
1.3 2.2201 2.02351
1.4 2.44141 2.2201
1.5 2.6896 2.44141
1.6 2.96701 2.6896
1.7 3.2761 2.96701
1.8 3.61951 3.2761
1.9 4 3.61951
2 4.42051 4
2.1 4.8841 4.42051
2.2 5.394 4.8841
2.3 5.9536 5.39401
2.4 6.5664 5.9536
2.5 7.2361 6.56641
2.6 7.9665 7.2361
2.7 8.7616 7.96651
2.8 9.6255 8.7616
2.9 10.5625 9.62551
3 11.577 10.5625
3.1 12.6736 11.577
3.2 13.857 12.6736
3.3 15.1321 13.857
3.4 16.5039 15.1321
3.5 17.9776 16.5039
3.6 19.5585 17.9776
3.7 21.2521 19.5585
3.8 23.064 21.2521
3.9 25 23.064
4 27.066 25
4.1 29.2681 27.066
4.2 31.6125 29.2681
4.3 34.1056 31.6125
4.4 36.7539 34.1056
4.5 39.5641 36.7539
4.6 42.543 39.5641
4.7 45.6976 42.543
4.8 49.035 45.6976
4.9 52.5625 49.035
5 56.2875 52.5625
5.1 60.2176 56.2875
5.2 64.3605 60.2176
5.3 68.7241 64.3605
5.4 73.3164 68.7241
5.5 78.1456 73.3164
5.6 83.22 78.1456
5.7 88.5481 83.22
5.8 94.1385 88.5481
5.9 100 94.1385
6 106.141 100
6.1 112.572 106.142
6.2 119.301 112.572
6.3 126.338 119.301
6.4 133.691 126.338
6.5 141.372 133.691
6.6 149.389 141.372
6.7 157.754 149.39
6.8 166.474 157.754
6.9 175.562 166.475
7 185.028 175.562
7.1 194.882 185.028
7.2 205.134 194.882
7.3 215.796 205.134
7.4 226.879 215.796
7.5 238.394 226.879
7.6 250.351 238.394
7.7 262.764 250.352
7.8 275.643 262.764
7.9 289 275.643
8 302.847 289
8.1 317.196 302.847
8.2 332.059 317.196
8.3 347.45 332.06
8.4 363.379 347.45
8.5 379.86 363.379
8.6 396.906 379.86
8.7 414.53 396.906
8.8 432.744 414.53
8.9 451.562 432.744
9 470.998 451.562
9.1 491.066 470.999
9.2 511.777 491.066
9.3 533.148 511.778
9.4 555.191 533.148
9.5 577.922 555.191
9.6 601.353 577.922
9.7 625.5 601.353
9.8 650.377 625.5
9.9 676 650.378
10 702.382 676
