0 1 1
0.1 0.9 0.925795
0.2 0.852968 0.889504
0.3 0.837441 0.876191
0.4 0.839834 0.876284
0.5 0.851677 0.883728
0.6 0.867808 0.894762
0.7 0.885175 0.907107
0.8 0.902059 0.919433
0.9 0.917571 0.931012
1 0.931324 0.94149
1.1 0.943228 0.950737
1.2 0.953355 0.958756
1.3 0.961861 0.965621
1.4 0.968937 0.971444
1.5 0.97478 0.976346
1.6 0.979576 0.98045
1.7 0.983495 0.98387
1.8 0.986684 0.986711
1.9 0.989273 0.989065
2 0.991368 0.99101
2.1 0.993061 0.992615
2.2 0.994426 0.993937
2.3 0.995526 0.995025
2.4 0.996411 0.995919
2.5 0.997122 0.996654
2.6 0.997693 0.997257
2.7 0.998151 0.997752
2.8 0.998519 0.998158
2.9 0.998814 0.998491
3 0.99905 0.998764
3.1 0.999239 0.998987
3.2 0.999391 0.999171
3.3 0.999513 0.999321
3.4 0.99961 0.999444
3.5 0.999688 0.999544
3.6 0.99975 0.999627
3.7 0.9998 0.999695
3.8 0.99984 0.99975
3.9 0.999872 0.999795
4 0.999898 0.999832
4.1 0.999918 0.999863
4.2 0.999934 0.999888
4.3 0.999948 0.999908
4.4 0.999958 0.999925
4.5 0.999966 0.999938
4.6 0.999973 0.999949
4.7 0.999979 0.999959
4.8 0.999983 0.999966
4.9 0.999986 0.999972
5 0.999989 0.999977
